date,state,district,pincode,bio_age_5_17,bio_age_17_
08-06-2025,Karnataka,Bangalore,560008,0,4
08-06-2025,Karnataka,Bangalore,560021,1,2
08-06-2025,Karnataka,Bangalore,560026,3,5
08-06-2025,Karnataka,Bangalore,560035,1,2
08-06-2025,Karnataka,Bangalore,560041,0,2
08-06-2025,Karnataka,Bangalore,560048,0,1
08-06-2025,Karnataka,Bangalore,560050,1,3
08-06-2025,Karnataka,Bangalore,560051,0,1
08-06-2025,Karnataka,Bangalore,560065,0,2
08-06-2025,Karnataka,Bangalore,560068,2,10
08-06-2025,Karnataka,Bangalore,560076,2,4
08-06-2025,Karnataka,Bangalore,560077,0,1
08-06-2025,Karnataka,Bangalore,560092,1,2
08-06-2025,Karnataka,Bangalore,560102,0,1
08-06-2025,Karnataka,Bangalore,560103,1,2
10-06-2025,Karnataka,Bangalore,560001,0,4
10-06-2025,Karnataka,Bangalore,560013,0,4
10-06-2025,Karnataka,Bangalore,560015,0,6
10-06-2025,Karnataka,Bangalore,560018,3,6
10-06-2025,Karnataka,Bangalore,560019,1,4
10-06-2025,Karnataka,Bangalore,560025,0,1
10-06-2025,Karnataka,Bangalore,560032,8,25
10-06-2025,Karnataka,Bangalore,560035,1,4
10-06-2025,Karnataka,Bangalore,560038,0,1
10-06-2025,Karnataka,Bangalore,560040,1,13
10-06-2025,Karnataka,Bangalore,560051,0,11
10-06-2025,Karnataka,Bangalore,560054,0,9
10-06-2025,Karnataka,Bangalore,560066,2,10
10-06-2025,Karnataka,Bangalore,560075,0,7
10-06-2025,Karnataka,Bangalore,560086,1,9
10-06-2025,Karnataka,Bangalore,560091,6,19
10-06-2025,Karnataka,Bangalore,560092,1,4
10-06-2025,Karnataka,Bangalore,560098,0,5
10-06-2025,Karnataka,Bangalore,562106,2,17
10-06-2025,Karnataka,Bangalore,562107,3,6
10-06-2025,Karnataka,Bangalore,562123,1,10
10-06-2025,Karnataka,Bangalore,562130,5,5
09-06-2025,Karnataka,Bangalore,560006,2,0
09-06-2025,Karnataka,Bangalore,560015,0,5
09-06-2025,Karnataka,Bangalore,560017,1,3
09-06-2025,Karnataka,Bangalore,560020,1,0
09-06-2025,Karnataka,Bangalore,560024,1,2
09-06-2025,Karnataka,Bangalore,560029,0,6
09-06-2025,Karnataka,Bangalore,560039,3,11
09-06-2025,Karnataka,Bangalore,560041,0,6
09-06-2025,Karnataka,Bangalore,560055,0,1
09-06-2025,Karnataka,Bangalore,560059,1,3
09-06-2025,Karnataka,Bangalore,560062,3,12
09-06-2025,Karnataka,Bangalore,560070,2,12
09-06-2025,Karnataka,Bangalore,560072,3,16
09-06-2025,Karnataka,Bangalore,560079,2,30
09-06-2025,Karnataka,Bangalore,560095,0,1
09-06-2025,Karnataka,Bangalore,560096,3,9
09-06-2025,Karnataka,Bangalore,560099,4,12
09-06-2025,Karnataka,Bangalore,560105,2,4
09-06-2025,Karnataka,Bangalore,562130,0,5
11-06-2025,Karnataka,Bangalore,560003,0,10
11-06-2025,Karnataka,Bangalore,560007,1,0
11-06-2025,Karnataka,Bangalore,560008,0,17
12-06-2025,Karnataka,Bangalore,560004,2,3
12-06-2025,Karnataka,Bangalore,560008,0,9
12-06-2025,Karnataka,Bangalore,560010,2,12
12-06-2025,Karnataka,Bangalore,560024,0,8
12-06-2025,Karnataka,Bangalore,560027,1,7
12-06-2025,Karnataka,Bangalore,560028,1,3
12-06-2025,Karnataka,Bangalore,560032,5,34
12-06-2025,Karnataka,Bangalore,560034,0,3
12-06-2025,Karnataka,Bangalore,560035,1,0
12-06-2025,Karnataka,Bangalore,560038,1,6
12-06-2025,Karnataka,Bangalore,560047,6,18
12-06-2025,Karnataka,Bangalore,560048,1,2
12-06-2025,Karnataka,Bangalore,560051,0,6
12-06-2025,Karnataka,Bangalore,560058,4,19
12-06-2025,Karnataka,Bangalore,560061,0,12
12-06-2025,Karnataka,Bangalore,560062,1,7
12-06-2025,Karnataka,Bangalore,560072,2,8
12-06-2025,Karnataka,Bangalore,560078,2,25
12-06-2025,Karnataka,Bangalore,560084,3,16
12-06-2025,Karnataka,Bangalore,560096,1,12
12-06-2025,Karnataka,Bangalore,562107,1,3
15-06-2025,Karnataka,Bangalore,560003,0,2
15-06-2025,Karnataka,Bangalore,560010,1,4
15-06-2025,Karnataka,Bangalore,560017,0,4
15-06-2025,Karnataka,Bangalore,560021,2,6
15-06-2025,Karnataka,Bangalore,560024,1,2
15-06-2025,Karnataka,Bangalore,560041,1,1
15-06-2025,Karnataka,Bangalore,560042,0,1
15-06-2025,Karnataka,Bangalore,560057,6,4
15-06-2025,Karnataka,Bangalore,560066,6,1
15-06-2025,Karnataka,Bangalore,560070,5,5
15-06-2025,Karnataka,Bangalore,560076,1,2
15-06-2025,Karnataka,Bangalore,560085,1,1
15-06-2025,Karnataka,Bangalore,560086,2,8
15-06-2025,Karnataka,Bangalore,560087,1,0
15-06-2025,Karnataka,Bangalore,560090,3,3
15-06-2025,Karnataka,Bangalore,560091,4,19
15-06-2025,Karnataka,Bangalore,560095,0,2
15-06-2025,Karnataka,Bangalore,560097,2,2
15-06-2025,Karnataka,Bangalore,560099,2,4
14-06-2025,Karnataka,Bangalore,560003,2,9
14-06-2025,Karnataka,Bangalore,560006,0,2
14-06-2025,Karnataka,Bangalore,560017,3,4
14-06-2025,Karnataka,Bangalore,560021,4,8
14-06-2025,Karnataka,Bangalore,560022,4,2
14-06-2025,Karnataka,Bangalore,560023,5,24
14-06-2025,Karnataka,Bangalore,560026,6,22
14-06-2025,Karnataka,Bangalore,560048,1,3
14-06-2025,Karnataka,Bangalore,560057,4,5
14-06-2025,Karnataka,Bangalore,560058,6,14
14-06-2025,Karnataka,Bangalore,560066,3,2
14-06-2025,Karnataka,Bangalore,560073,4,7
14-06-2025,Karnataka,Bangalore,560076,4,9
14-06-2025,Karnataka,Bangalore,560079,1,26
14-06-2025,Karnataka,Bangalore,560102,4,2
14-06-2025,Karnataka,Bangalore,562125,2,6
16-06-2025,Karnataka,Bangalore,560001,0,6
16-06-2025,Karnataka,Bangalore,560013,0,1
16-06-2025,Karnataka,Bangalore,560014,0,2
16-06-2025,Karnataka,Bangalore,560018,0,11
16-06-2025,Karnataka,Bangalore,560022,0,7
16-06-2025,Karnataka,Bangalore,560028,0,2
16-06-2025,Karnataka,Bangalore,560033,0,5
16-06-2025,Karnataka,Bangalore,560038,0,7
16-06-2025,Karnataka,Bangalore,560051,2,4
16-06-2025,Karnataka,Bangalore,560054,0,7
16-06-2025,Karnataka,Bangalore,560059,0,3
16-06-2025,Karnataka,Bangalore,560075,1,10
16-06-2025,Karnataka,Bangalore,560080,0,1
16-06-2025,Karnataka,Bangalore,560084,1,13
16-06-2025,Karnataka,Bangalore,560096,1,12
16-06-2025,Karnataka,Bangalore,560099,1,10
16-06-2025,Karnataka,Bangalore,560100,0,9
16-06-2025,Karnataka,Bangalore,560103,1,0
16-06-2025,Karnataka,Bangalore,562109,0,1
16-06-2025,Karnataka,Bangalore,562125,0,1
16-06-2025,Karnataka,Bangalore,562149,2,2
17-06-2025,Karnataka,Bangalore,560006,1,1
17-06-2025,Karnataka,Bangalore,560011,0,10
17-06-2025,Karnataka,Bangalore,560013,0,1
17-06-2025,Karnataka,Bangalore,560014,0,3
17-06-2025,Karnataka,Bangalore,560019,2,5
17-06-2025,Karnataka,Bangalore,560020,0,5
17-06-2025,Karnataka,Bangalore,560021,1,16
17-06-2025,Karnataka,Bangalore,560022,4,20
17-06-2025,Karnataka,Bangalore,560030,4,9
17-06-2025,Karnataka,Bangalore,560041,1,3
17-06-2025,Karnataka,Bangalore,560045,8,35
17-06-2025,Karnataka,Bangalore,560048,2,7
17-06-2025,Karnataka,Bangalore,560050,3,7
17-06-2025,Karnataka,Bangalore,560061,1,11
17-06-2025,Karnataka,Bangalore,560075,0,4
17-06-2025,Karnataka,Bangalore,560076,4,12
17-06-2025,Karnataka,Bangalore,560086,1,11
17-06-2025,Karnataka,Bangalore,562106,4,14
17-06-2025,Karnataka,Bangalore,562120,0,1
17-06-2025,Karnataka,Bangalore,562159,0,1
13-06-2025,Karnataka,Bangalore,560005,0,9
13-06-2025,Karnataka,Bangalore,560018,0,8
13-06-2025,Karnataka,Bangalore,560019,0,6
13-06-2025,Karnataka,Bangalore,560025,0,1
13-06-2025,Karnataka,Bangalore,560028,0,8
13-06-2025,Karnataka,Bangalore,560029,0,2
13-06-2025,Karnataka,Bangalore,560035,0,2
13-06-2025,Karnataka,Bangalore,560039,0,2
13-06-2025,Karnataka,Bangalore,560045,5,26
13-06-2025,Karnataka,Bangalore,560049,2,3
13-06-2025,Karnataka,Bangalore,560059,0,1
13-06-2025,Karnataka,Bangalore,560067,0,3
13-06-2025,Karnataka,Bangalore,560068,4,27
13-06-2025,Karnataka,Bangalore,560070,0,3
13-06-2025,Karnataka,Bangalore,560078,4,20
13-06-2025,Karnataka,Bangalore,560079,6,31
13-06-2025,Karnataka,Bangalore,560080,0,1
13-06-2025,Karnataka,Bangalore,560094,3,6
11-06-2025,Karnataka,Bangalore,560020,0,1
11-06-2025,Karnataka,Bangalore,560023,0,14
11-06-2025,Karnataka,Bangalore,560025,0,1
11-06-2025,Karnataka,Bangalore,560026,6,28
11-06-2025,Karnataka,Bangalore,560027,0,6
11-06-2025,Karnataka,Bangalore,560032,2,24
11-06-2025,Karnataka,Bangalore,560033,1,15
11-06-2025,Karnataka,Bangalore,560037,1,12
11-06-2025,Karnataka,Bangalore,560039,2,12
11-06-2025,Karnataka,Bangalore,560043,5,21
11-06-2025,Karnataka,Bangalore,560053,2,10
11-06-2025,Karnataka,Bangalore,560058,5,18
11-06-2025,Karnataka,Bangalore,560062,0,11
11-06-2025,Karnataka,Bangalore,560080,0,2
11-06-2025,Karnataka,Bangalore,560084,2,21
11-06-2025,Karnataka,Bangalore,560087,0,3
11-06-2025,Karnataka,Bangalore,560093,0,3
11-06-2025,Karnataka,Bangalore,560100,0,13
18-06-2025,Karnataka,Bangalore,560058,5,22
18-06-2025,Karnataka,Bangalore,560060,0,10
18-06-2025,Karnataka,Bangalore,560066,1,0
18-06-2025,Karnataka,Bangalore,560082,0,2
18-06-2025,Karnataka,Bangalore,560085,1,8
18-06-2025,Karnataka,Bangalore,560086,1,15
18-06-2025,Karnataka,Bangalore,560089,0,2
18-06-2025,Karnataka,Bangalore,560098,1,5
18-06-2025,Karnataka,Bangalore,560099,1,3
18-06-2025,Karnataka,Bangalore,560015,1,7
18-06-2025,Karnataka,Bangalore,560020,0,4
18-06-2025,Karnataka,Bangalore,560023,0,23
18-06-2025,Karnataka,Bangalore,560024,1,3
18-06-2025,Karnataka,Bangalore,560025,0,1
18-06-2025,Karnataka,Bangalore,560029,1,11
18-06-2025,Karnataka,Bangalore,560030,0,9
18-06-2025,Karnataka,Bangalore,560032,4,13
18-06-2025,Karnataka,Bangalore,560041,1,1
18-06-2025,Karnataka,Bangalore,560046,0,3
18-06-2025,Karnataka,Bangalore,560051,1,5
23-05-2025,Karnataka,Bangalore,560004,1,5
23-05-2025,Karnataka,Bangalore,560009,1,0
23-05-2025,Karnataka,Bangalore,560011,1,12
23-05-2025,Karnataka,Bangalore,560021,5,23
23-05-2025,Karnataka,Bangalore,560037,5,6
23-05-2025,Karnataka,Bangalore,560040,1,9
23-05-2025,Karnataka,Bangalore,560043,4,14
23-05-2025,Karnataka,Bangalore,560048,1,5
23-05-2025,Karnataka,Bangalore,560060,5,13
23-05-2025,Karnataka,Bangalore,560068,11,16
23-05-2025,Karnataka,Bangalore,560069,0,2
23-05-2025,Karnataka,Bangalore,560072,3,15
23-05-2025,Karnataka,Bangalore,560075,2,4
23-05-2025,Karnataka,Bangalore,560076,6,11
23-05-2025,Karnataka,Bangalore,560082,1,2
23-05-2025,Karnataka,Bangalore,560086,4,10
23-05-2025,Karnataka,Bangalore,560089,1,2
23-05-2025,Karnataka,Bangalore,560095,0,4
23-05-2025,Karnataka,Bangalore,560098,0,8
23-05-2025,Karnataka,Bangalore,562130,1,8
23-05-2025,Karnataka,Bangalore,562157,3,0
22-05-2025,Karnataka,Bangalore,560005,1,4
22-05-2025,Karnataka,Bangalore,560009,0,1
22-05-2025,Karnataka,Bangalore,560010,5,8
22-05-2025,Karnataka,Bangalore,560011,1,9
22-05-2025,Karnataka,Bangalore,560018,2,9
22-05-2025,Karnataka,Bangalore,560024,1,5
22-05-2025,Karnataka,Bangalore,560032,9,24
22-05-2025,Karnataka,Bangalore,560039,1,7
22-05-2025,Karnataka,Bangalore,560042,0,1
22-05-2025,Karnataka,Bangalore,560050,3,8
22-05-2025,Karnataka,Bangalore,560051,0,15
22-05-2025,Karnataka,Bangalore,560057,2,3
22-05-2025,Karnataka,Bangalore,560067,3,2
22-05-2025,Karnataka,Bangalore,560075,1,10
22-05-2025,Karnataka,Bangalore,560083,3,2
22-05-2025,Karnataka,Bangalore,560085,4,11
22-05-2025,Karnataka,Bangalore,560087,1,3
22-05-2025,Karnataka,Bangalore,560091,11,19
22-05-2025,Karnataka,Bangalore,560092,1,7
22-05-2025,Karnataka,Bangalore,560097,1,15
22-05-2025,Karnataka,Bangalore,562106,5,8
22-05-2025,Karnataka,Bangalore,562110,2,0
22-05-2025,Karnataka,Bangalore,562120,1,1
20-05-2025,Karnataka,Bangalore,560006,0,3
20-05-2025,Karnataka,Bangalore,560008,2,13
20-05-2025,Karnataka,Bangalore,560022,1,18
20-05-2025,Karnataka,Bangalore,560034,0,2
20-05-2025,Karnataka,Bangalore,560035,2,3
20-05-2025,Karnataka,Bangalore,560036,4,12
20-05-2025,Karnataka,Bangalore,560046,1,2
20-05-2025,Karnataka,Bangalore,560059,1,1
20-05-2025,Karnataka,Bangalore,560062,2,6
20-05-2025,Karnataka,Bangalore,560069,0,4
20-05-2025,Karnataka,Bangalore,560082,0,4
20-05-2025,Karnataka,Bangalore,560088,1,0
20-05-2025,Karnataka,Bangalore,560096,1,6
20-05-2025,Karnataka,Bangalore,560102,0,5
20-05-2025,Karnataka,Bangalore,560104,0,1
20-05-2025,Karnataka,Bangalore,562157,0,4
26-05-2025,Karnataka,Bangalore,560002,1,6
26-05-2025,Karnataka,Bangalore,560014,1,0
26-05-2025,Karnataka,Bangalore,560015,1,6
26-05-2025,Karnataka,Bangalore,560029,5,7
26-05-2025,Karnataka,Bangalore,560042,0,1
26-05-2025,Karnataka,Bangalore,560046,1,2
26-05-2025,Karnataka,Bangalore,560060,2,12
26-05-2025,Karnataka,Bangalore,560067,1,9
26-05-2025,Karnataka,Bangalore,560089,1,0
26-05-2025,Karnataka,Bangalore,560090,5,6
26-05-2025,Karnataka,Bangalore,560093,4,7
26-05-2025,Karnataka,Bangalore,560100,4,6
27-05-2025,Karnataka,Bangalore,560018,2,8
27-05-2025,Karnataka,Bangalore,560025,0,1
27-05-2025,Karnataka,Bangalore,560028,1,1
27-05-2025,Karnataka,Bangalore,560033,6,15
27-05-2025,Karnataka,Bangalore,560040,5,8
27-05-2025,Karnataka,Bangalore,560042,1,0
27-05-2025,Karnataka,Bangalore,560043,2,14
27-05-2025,Karnataka,Bangalore,560045,23,37
27-05-2025,Karnataka,Bangalore,560046,1,10
27-05-2025,Karnataka,Bangalore,560050,4,9
27-05-2025,Karnataka,Bangalore,560057,4,9
27-05-2025,Karnataka,Bangalore,560064,0,15
27-05-2025,Karnataka,Bangalore,560075,2,5
27-05-2025,Karnataka,Bangalore,560082,2,4
27-05-2025,Karnataka,Bangalore,560083,3,8
27-05-2025,Karnataka,Bangalore,560085,3,20
27-05-2025,Karnataka,Bangalore,560100,2,11
27-05-2025,Karnataka,Bangalore,560105,1,3
27-05-2025,Karnataka,Bangalore,562123,5,8
27-05-2025,Karnataka,Bangalore,562125,2,5
27-05-2025,Karnataka,Bangalore,562130,2,13
27-05-2025,Karnataka,Bangalore,562149,3,4
21-05-2025,Karnataka,Bangalore,560005,1,5
21-05-2025,Karnataka,Bangalore,560016,5,13
21-05-2025,Karnataka,Bangalore,560017,4,1
21-05-2025,Karnataka,Bangalore,560022,0,5
21-05-2025,Karnataka,Bangalore,560035,1,3
21-05-2025,Karnataka,Bangalore,560038,0,8
21-05-2025,Karnataka,Bangalore,560041,0,4
21-05-2025,Karnataka,Bangalore,560048,1,3
21-05-2025,Karnataka,Bangalore,560060,3,17
21-05-2025,Karnataka,Bangalore,560063,2,2
21-05-2025,Karnataka,Bangalore,560070,4,10
21-05-2025,Karnataka,Bangalore,560071,0,3
21-05-2025,Karnataka,Bangalore,560076,6,9
21-05-2025,Karnataka,Bangalore,560082,0,1
21-05-2025,Karnataka,Bangalore,560085,6,9
21-05-2025,Karnataka,Bangalore,560092,2,2
21-05-2025,Karnataka,Bangalore,560093,0,4
21-05-2025,Karnataka,Bangalore,562106,6,8
21-05-2025,Karnataka,Bangalore,562107,4,4
21-05-2025,Karnataka,Bangalore,562120,1,0
24-05-2025,Karnataka,Bangalore,560002,4,7
24-05-2025,Karnataka,Bangalore,560004,2,3
24-05-2025,Karnataka,Bangalore,560017,1,5
24-05-2025,Karnataka,Bangalore,560021,4,13
24-05-2025,Karnataka,Bangalore,560029,3,9
24-05-2025,Karnataka,Bangalore,560032,9,13
24-05-2025,Karnataka,Bangalore,560034,0,4
24-05-2025,Karnataka,Bangalore,560038,0,4
24-05-2025,Karnataka,Bangalore,560039,0,8
24-05-2025,Karnataka,Bangalore,560043,3,32
24-05-2025,Karnataka,Bangalore,560046,0,1
24-05-2025,Karnataka,Bangalore,560049,2,5
24-05-2025,Karnataka,Bangalore,560058,4,10
24-05-2025,Karnataka,Bangalore,560064,4,7
24-05-2025,Karnataka,Bangalore,560076,8,9
24-05-2025,Karnataka,Bangalore,560098,2,4
24-05-2025,Karnataka,Bangalore,560102,0,4
24-05-2025,Karnataka,Bangalore,562106,4,3
24-05-2025,Karnataka,Bangalore,562149,2,5
25-05-2025,Karnataka,Bangalore,560006,1,0
25-05-2025,Karnataka,Bangalore,560023,4,8
25-05-2025,Karnataka,Bangalore,560030,0,1
25-05-2025,Karnataka,Bangalore,560045,1,13
25-05-2025,Karnataka,Bangalore,560073,1,2
25-05-2025,Karnataka,Bangalore,560086,0,2
25-05-2025,Karnataka,Bangalore,560096,1,4
25-05-2025,Karnataka,Bangalore,560098,0,2
25-05-2025,Karnataka,Bangalore,560103,1,1
25-05-2025,Karnataka,Bangalore,562130,2,4
25-05-2025,Karnataka,Bangalore,562157,0,1
28-05-2025,Karnataka,Bangalore,560001,2,5
28-05-2025,Karnataka,Bangalore,560002,0,6
28-05-2025,Karnataka,Bangalore,560017,1,5
28-05-2025,Karnataka,Bangalore,560018,2,9
28-05-2025,Karnataka,Bangalore,560019,1,8
28-05-2025,Karnataka,Bangalore,560023,7,14
28-05-2025,Karnataka,Bangalore,560035,2,0
28-05-2025,Karnataka,Bangalore,560042,0,1
