date,state,district,pincode,demo_age_5_17,demo_age_17_
02-09-2025,Karnataka,Bangalore,560105,0,4
02-09-2025,Karnataka,Bangalore,562149,0,7
04-09-2025,Karnataka,Bangalore,560004,0,3
04-09-2025,Karnataka,Bangalore,560010,0,9
04-09-2025,Karnataka,Bangalore,560018,1,2
04-09-2025,Karnataka,Bangalore,560020,0,1
04-09-2025,Karnataka,Bangalore,560022,1,4
04-09-2025,Karnataka,Bangalore,560025,0,1
04-09-2025,Karnataka,Bangalore,560037,0,3
04-09-2025,Karnataka,Bangalore,560041,0,1
04-09-2025,Karnataka,Bangalore,560049,0,9
04-09-2025,Karnataka,Bangalore,560061,0,4
04-09-2025,Karnataka,Bangalore,560066,0,5
04-09-2025,Karnataka,Bangalore,560072,0,10
04-09-2025,Karnataka,Bangalore,560073,0,1
04-09-2025,Karnataka,Bangalore,560076,1,7
04-09-2025,Karnataka,Bangalore,560077,1,4
04-09-2025,Karnataka,Bangalore,560082,0,5
04-09-2025,Karnataka,Bangalore,560084,1,3
04-09-2025,Karnataka,Bangalore,560086,0,1
04-09-2025,Karnataka,Bangalore,560094,0,10
04-09-2025,Karnataka,Bangalore,560096,1,3
04-09-2025,Karnataka,Bangalore,562125,0,4
04-09-2025,Karnataka,Bangalore,562129,0,1
04-09-2025,Karnataka,Bangalore,562149,0,3
04-09-2025,Karnataka,Bangalore,562157,0,3
03-09-2025,Karnataka,Bangalore,560003,0,2
03-09-2025,Karnataka,Bangalore,560008,0,3
03-09-2025,Karnataka,Bangalore,560019,0,2
03-09-2025,Karnataka,Bangalore,560023,0,5
03-09-2025,Karnataka,Bangalore,560026,1,16
03-09-2025,Karnataka,Bangalore,560038,0,2
03-09-2025,Karnataka,Bangalore,560050,0,4
03-09-2025,Karnataka,Bangalore,560064,1,4
03-09-2025,Karnataka,Bangalore,560067,0,5
03-09-2025,Karnataka,Bangalore,560071,0,2
03-09-2025,Karnataka,Bangalore,560077,0,3
03-09-2025,Karnataka,Bangalore,560084,0,8
03-09-2025,Karnataka,Bangalore,560085,2,8
03-09-2025,Karnataka,Bangalore,560088,0,1
03-09-2025,Karnataka,Bangalore,560089,0,2
03-09-2025,Karnataka,Bangalore,560090,0,7
03-09-2025,Karnataka,Bangalore,560091,1,8
03-09-2025,Karnataka,Bangalore,560092,0,2
03-09-2025,Karnataka,Bangalore,560093,2,3
03-09-2025,Karnataka,Bangalore,560100,0,4
03-09-2025,Karnataka,Bangalore,562123,0,4
06-09-2025,Karnataka,Bangalore,560003,0,4
06-09-2025,Karnataka,Bangalore,560006,1,0
06-09-2025,Karnataka,Bangalore,560019,0,5
06-09-2025,Karnataka,Bangalore,560021,0,7
06-09-2025,Karnataka,Bangalore,560025,0,4
06-09-2025,Karnataka,Bangalore,560027,0,3
06-09-2025,Karnataka,Bangalore,560030,0,4
06-09-2025,Karnataka,Bangalore,560043,1,9
06-09-2025,Karnataka,Bangalore,560056,0,5
06-09-2025,Karnataka,Bangalore,560058,0,4
06-09-2025,Karnataka,Bangalore,560063,1,1
06-09-2025,Karnataka,Bangalore,560075,1,5
06-09-2025,Karnataka,Bangalore,560078,2,11
06-09-2025,Karnataka,Bangalore,560087,0,11
06-09-2025,Karnataka,Bangalore,560099,0,8
06-09-2025,Karnataka,Bangalore,560100,1,7
06-09-2025,Karnataka,Bangalore,560105,0,3
06-09-2025,Karnataka,Bangalore,562130,0,6
05-09-2025,Karnataka,Bangalore,560001,0,1
05-09-2025,Karnataka,Bangalore,560004,0,1
05-09-2025,Karnataka,Bangalore,560008,0,1
05-09-2025,Karnataka,Bangalore,560027,0,1
05-09-2025,Karnataka,Bangalore,560036,0,4
05-09-2025,Karnataka,Bangalore,560043,0,6
05-09-2025,Karnataka,Bangalore,560049,1,3
05-09-2025,Karnataka,Bangalore,560053,0,1
05-09-2025,Karnataka,Bangalore,560054,0,3
05-09-2025,Karnataka,Bangalore,560057,0,5
05-09-2025,Karnataka,Bangalore,560060,0,7
05-09-2025,Karnataka,Bangalore,560061,2,2
05-09-2025,Karnataka,Bangalore,560066,0,1
05-09-2025,Karnataka,Bangalore,560090,0,3
05-09-2025,Karnataka,Bangalore,560092,0,1
05-09-2025,Karnataka,Bangalore,560105,0,3
07-09-2025,Karnataka,Bangalore,560003,0,1
07-09-2025,Karnataka,Bangalore,560016,1,0
07-09-2025,Karnataka,Bangalore,560024,0,2
07-09-2025,Karnataka,Bangalore,560034,1,0
07-09-2025,Karnataka,Bangalore,560037,0,3
07-09-2025,Karnataka,Bangalore,560056,0,2
07-09-2025,Karnataka,Bangalore,560060,1,6
07-09-2025,Karnataka,Bangalore,560072,0,2
07-09-2025,Karnataka,Bangalore,560087,1,3
07-09-2025,Karnataka,Bangalore,560099,0,1
07-09-2025,Karnataka,Bangalore,560100,2,1
07-09-2025,Karnataka,Bangalore,560102,1,1
07-09-2025,Karnataka,Bangalore,562123,0,2
07-09-2025,Karnataka,Bangalore,562125,0,1
07-09-2025,Karnataka,Bangalore,562130,0,3
08-09-2025,Karnataka,Bangalore,560003,0,3
08-09-2025,Karnataka,Bangalore,560004,0,9
08-09-2025,Karnataka,Bangalore,560009,0,1
08-09-2025,Karnataka,Bangalore,560024,0,2
08-09-2025,Karnataka,Bangalore,560027,1,8
08-09-2025,Karnataka,Bangalore,560037,3,12
08-09-2025,Karnataka,Bangalore,560038,0,4
08-09-2025,Karnataka,Bangalore,560040,0,8
08-09-2025,Karnataka,Bangalore,560046,0,1
08-09-2025,Karnataka,Bangalore,560047,1,9
08-09-2025,Karnataka,Bangalore,560049,0,9
08-09-2025,Karnataka,Bangalore,560066,1,7
08-09-2025,Karnataka,Bangalore,562107,0,7
08-09-2025,Karnataka,Bangalore,562123,1,10
09-09-2025,Karnataka,Bangalore,560018,0,11
09-09-2025,Karnataka,Bangalore,560019,0,2
09-09-2025,Karnataka,Bangalore,560023,0,6
09-09-2025,Karnataka,Bangalore,560027,0,7
09-09-2025,Karnataka,Bangalore,560032,1,13
09-09-2025,Karnataka,Bangalore,560033,0,3
09-09-2025,Karnataka,Bangalore,560040,0,5
09-09-2025,Karnataka,Bangalore,560041,0,3
09-09-2025,Karnataka,Bangalore,560046,0,4
09-09-2025,Karnataka,Bangalore,560050,1,6
09-09-2025,Karnataka,Bangalore,560064,1,12
09-09-2025,Karnataka,Bangalore,560073,1,5
09-09-2025,Karnataka,Bangalore,560083,0,5
09-09-2025,Karnataka,Bangalore,562106,1,7
09-09-2025,Karnataka,Bangalore,562123,0,7
09-09-2025,Karnataka,Bangalore,562125,1,8
10-09-2025,Karnataka,Bangalore,560001,0,4
10-09-2025,Karnataka,Bangalore,560002,0,10
10-09-2025,Karnataka,Bangalore,560003,0,2
10-09-2025,Karnataka,Bangalore,560009,0,1
10-09-2025,Karnataka,Bangalore,560010,1,6
10-09-2025,Karnataka,Bangalore,560016,2,15
10-09-2025,Karnataka,Bangalore,560023,1,5
10-09-2025,Karnataka,Bangalore,560025,0,1
10-09-2025,Karnataka,Bangalore,560034,0,1
10-09-2025,Karnataka,Bangalore,560036,2,14
10-09-2025,Karnataka,Bangalore,560037,0,8
10-09-2025,Karnataka,Bangalore,560038,1,0
10-09-2025,Karnataka,Bangalore,560039,0,5
10-09-2025,Karnataka,Bangalore,560042,0,1
10-09-2025,Karnataka,Bangalore,560051,0,2
10-09-2025,Karnataka,Bangalore,560056,3,4
10-09-2025,Karnataka,Bangalore,560070,0,5
10-09-2025,Karnataka,Bangalore,560072,2,8
10-09-2025,Karnataka,Bangalore,560083,1,4
10-09-2025,Karnataka,Bangalore,560092,0,6
10-09-2025,Karnataka,Bangalore,560094,1,9
10-09-2025,Karnataka,Bangalore,560096,0,9
10-09-2025,Karnataka,Bangalore,560099,1,4
10-09-2025,Karnataka,Bangalore,560104,0,1
10-09-2025,Karnataka,Bangalore,562120,0,1
12-09-2025,Karnataka,Bangalore,560005,0,4
12-09-2025,Karnataka,Bangalore,560018,0,3
12-09-2025,Karnataka,Bangalore,560022,1,3
12-09-2025,Karnataka,Bangalore,560023,0,3
12-09-2025,Karnataka,Bangalore,560027,0,8
12-09-2025,Karnataka,Bangalore,560028,0,3
12-09-2025,Karnataka,Bangalore,560029,0,6
12-09-2025,Karnataka,Bangalore,560054,0,6
12-09-2025,Karnataka,Bangalore,560056,0,6
12-09-2025,Karnataka,Bangalore,560064,0,7
12-09-2025,Karnataka,Bangalore,560072,0,4
12-09-2025,Karnataka,Bangalore,560073,0,8
12-09-2025,Karnataka,Bangalore,560083,1,7
12-09-2025,Karnataka,Bangalore,560089,0,4
12-09-2025,Karnataka,Bangalore,560098,0,8
12-09-2025,Karnataka,Bangalore,560103,0,1
12-09-2025,Karnataka,Bangalore,560105,0,2
12-09-2025,Karnataka,Bangalore,562106,0,3
12-09-2025,Karnataka,Bangalore,562110,0,2
12-09-2025,Karnataka,Bangalore,562125,0,6
12-09-2025,Karnataka,Bangalore,562157,0,1
11-09-2025,Karnataka,Bangalore,560003,0,5
11-09-2025,Karnataka,Bangalore,560004,0,3
11-09-2025,Karnataka,Bangalore,560016,0,14
11-09-2025,Karnataka,Bangalore,560021,0,5
11-09-2025,Karnataka,Bangalore,560038,0,3
11-09-2025,Karnataka,Bangalore,560042,0,1
11-09-2025,Karnataka,Bangalore,560047,1,9
11-09-2025,Karnataka,Bangalore,560048,0,6
11-09-2025,Karnataka,Bangalore,560050,0,4
11-09-2025,Karnataka,Bangalore,560062,1,13
11-09-2025,Karnataka,Bangalore,560064,1,10
11-09-2025,Karnataka,Bangalore,560068,0,14
11-09-2025,Karnataka,Bangalore,560069,0,2
11-09-2025,Karnataka,Bangalore,560071,1,3
11-09-2025,Karnataka,Bangalore,560086,0,1
11-09-2025,Karnataka,Bangalore,560096,1,8
11-09-2025,Karnataka,Bangalore,560097,0,4
11-09-2025,Karnataka,Bangalore,560099,1,5
11-09-2025,Karnataka,Bangalore,560103,0,4
14-09-2025,Karnataka,Bangalore,560002,0,2
14-09-2025,Karnataka,Bangalore,560015,0,1
14-09-2025,Karnataka,Bangalore,560022,1,1
14-09-2025,Karnataka,Bangalore,560023,0,4
14-09-2025,Karnataka,Bangalore,560033,0,1
14-09-2025,Karnataka,Bangalore,560035,1,1
14-09-2025,Karnataka,Bangalore,560040,1,3
14-09-2025,Karnataka,Bangalore,560041,0,1
14-09-2025,Karnataka,Bangalore,560046,1,0
14-09-2025,Karnataka,Bangalore,560050,0,1
14-09-2025,Karnataka,Bangalore,560051,0,1
14-09-2025,Karnataka,Bangalore,560054,1,0
14-09-2025,Karnataka,Bangalore,560058,0,2
14-09-2025,Karnataka,Bangalore,560066,0,4
14-09-2025,Karnataka,Bangalore,560090,0,1
14-09-2025,Karnataka,Bangalore,560092,0,1
14-09-2025,Karnataka,Bangalore,562107,0,2
13-09-2025,Karnataka,Bangalore,560005,0,6
13-09-2025,Karnataka,Bangalore,560024,0,2
13-09-2025,Karnataka,Bangalore,560025,0,1
13-09-2025,Karnataka,Bangalore,560035,0,4
13-09-2025,Karnataka,Bangalore,560041,0,4
13-09-2025,Karnataka,Bangalore,560048,1,0
13-09-2025,Karnataka,Bangalore,560049,0,7
13-09-2025,Karnataka,Bangalore,560050,0,2
13-09-2025,Karnataka,Bangalore,560053,0,1
13-09-2025,Karnataka,Bangalore,560060,0,4
13-09-2025,Karnataka,Bangalore,560061,0,3
13-09-2025,Karnataka,Bangalore,562157,1,2
15-09-2025,Karnataka,Bangalore,560029,0,5
15-09-2025,Karnataka,Bangalore,560033,0,4
15-09-2025,Karnataka,Bangalore,560036,1,9
15-09-2025,Karnataka,Bangalore,560037,1,4
15-09-2025,Karnataka,Bangalore,560041,0,3
15-09-2025,Karnataka,Bangalore,560051,1,3
15-09-2025,Karnataka,Bangalore,560068,0,7
15-09-2025,Karnataka,Bangalore,560073,1,4
15-09-2025,Karnataka,Bangalore,560083,1,5
15-09-2025,Karnataka,Bangalore,560091,1,9
15-09-2025,Karnataka,Bangalore,560099,0,9
16-09-2025,Karnataka,Bangalore,560005,1,7
16-09-2025,Karnataka,Bangalore,560008,0,5
16-09-2025,Karnataka,Bangalore,560010,1,6
16-09-2025,Karnataka,Bangalore,560011,0,2
16-09-2025,Karnataka,Bangalore,560023,1,6
16-09-2025,Karnataka,Bangalore,560038,0,3
16-09-2025,Karnataka,Bangalore,560042,0,2
16-09-2025,Karnataka,Bangalore,560043,1,8
16-09-2025,Karnataka,Bangalore,560045,0,13
16-09-2025,Karnataka,Bangalore,560050,0,7
16-09-2025,Karnataka,Bangalore,560060,1,4
16-09-2025,Karnataka,Bangalore,560067,2,5
16-09-2025,Karnataka,Bangalore,560069,0,1
16-09-2025,Karnataka,Bangalore,560072,1,8
16-09-2025,Karnataka,Bangalore,560077,0,3
16-09-2025,Karnataka,Bangalore,560079,0,9
16-09-2025,Karnataka,Bangalore,560083,0,7
16-09-2025,Karnataka,Bangalore,560094,0,7
16-09-2025,Karnataka,Bangalore,560102,0,2
16-09-2025,Karnataka,Bangalore,560105,2,4
16-09-2025,Karnataka,Bangalore,562125,0,8
16-09-2025,Karnataka,Bangalore,562130,0,5
16-09-2025,Karnataka,Bangalore,562149,0,4
16-09-2025,Karnataka,Bangalore,562159,0,1
17-09-2025,Karnataka,Bangalore,560010,0,10
17-09-2025,Karnataka,Bangalore,560011,0,1
17-09-2025,Karnataka,Bangalore,560013,0,1
17-09-2025,Karnataka,Bangalore,560016,1,9
17-09-2025,Karnataka,Bangalore,560026,0,12
17-09-2025,Karnataka,Bangalore,560037,0,1
17-09-2025,Karnataka,Bangalore,560040,0,4
17-09-2025,Karnataka,Bangalore,560049,1,8
17-09-2025,Karnataka,Bangalore,560054,0,4
17-09-2025,Karnataka,Bangalore,560055,0,3
17-09-2025,Karnataka,Bangalore,560057,1,4
17-09-2025,Karnataka,Bangalore,560062,0,10
17-09-2025,Karnataka,Bangalore,560075,0,1
17-09-2025,Karnataka,Bangalore,560082,0,4
17-09-2025,Karnataka,Bangalore,560100,0,4
17-09-2025,Karnataka,Bangalore,560104,0,1
18-09-2025,Karnataka,Bangalore,560033,0,2
18-09-2025,Karnataka,Bangalore,560034,0,3
18-09-2025,Karnataka,Bangalore,560036,0,9
18-09-2025,Karnataka,Bangalore,560037,0,4
18-09-2025,Karnataka,Bangalore,560040,0,6
18-09-2025,Karnataka,Bangalore,560045,3,16
18-09-2025,Karnataka,Bangalore,560054,0,1
18-09-2025,Karnataka,Bangalore,560060,0,13
18-09-2025,Karnataka,Bangalore,560075,3,5
18-09-2025,Karnataka,Bangalore,560077,0,8
18-09-2025,Karnataka,Bangalore,560079,1,9
18-09-2025,Karnataka,Bangalore,560083,0,4
18-09-2025,Karnataka,Bangalore,560094,1,3
18-09-2025,Karnataka,Bangalore,560099,0,4
18-09-2025,Karnataka,Bangalore,560105,0,1
18-09-2025,Karnataka,Bangalore,561203,0,1
18-09-2025,Karnataka,Bangalore,562107,0,11
18-09-2025,Karnataka,Bangalore,562120,0,1
18-09-2025,Karnataka,Bangalore,562130,0,2
18-09-2025,Karnataka,Bangalore,562157,0,3
20-09-2025,Karnataka,Bangalore,560001,1,1
20-09-2025,Karnataka,Bangalore,560002,0,3
20-09-2025,Karnataka,Bangalore,560022,0,7
20-09-2025,Karnataka,Bangalore,560043,0,10
20-09-2025,Karnataka,Bangalore,560047,0,8
20-09-2025,Karnataka,Bangalore,560048,0,1
20-09-2025,Karnataka,Bangalore,560057,1,6
20-09-2025,Karnataka,Bangalore,560058,1,7
20-09-2025,Karnataka,Bangalore,560061,0,2
20-09-2025,Karnataka,Bangalore,560078,1,6
20-09-2025,Karnataka,Bangalore,560083,0,6
20-09-2025,Karnataka,Bangalore,560085,0,8
20-09-2025,Karnataka,Bangalore,560086,0,5
20-09-2025,Karnataka,Bangalore,560091,4,12
20-09-2025,Karnataka,Bangalore,562123,0,8
20-09-2025,Karnataka,Bangalore,562125,0,1
19-09-2025,Karnataka,Bangalore,560003,0,7
19-09-2025,Karnataka,Bangalore,560011,1,7
19-09-2025,Karnataka,Bangalore,560017,1,3
19-09-2025,Karnataka,Bangalore,560061,0,3
19-09-2025,Karnataka,Bangalore,560068,2,8
19-09-2025,Karnataka,Bangalore,560078,0,11
19-09-2025,Karnataka,Bangalore,560085,0,13
19-09-2025,Karnataka,Bangalore,560100,2,5
13-10-2025,Karnataka,Bangalore,560016,0,5
13-10-2025,Karnataka,Bangalore,560021,1,3
13-10-2025,Karnataka,Bangalore,560034,0,1
13-10-2025,Karnataka,Bangalore,560037,1,2
13-10-2025,Karnataka,Bangalore,560039,0,4
13-10-2025,Karnataka,Bangalore,560067,0,5
13-10-2025,Karnataka,Bangalore,560071,0,2
13-10-2025,Karnataka,Bangalore,560073,0,1
13-10-2025,Karnataka,Bangalore,560100,0,5
13-10-2025,Karnataka,Bangalore,562125,0,1
16-10-2025,Karnataka,Bangalore,560001,0,8
16-10-2025,Karnataka,Bangalore,560004,0,7
16-10-2025,Karnataka,Bangalore,560005,0,4
16-10-2025,Karnataka,Bangalore,560008,2,7
16-10-2025,Karnataka,Bangalore,560015,0,5
16-10-2025,Karnataka,Bangalore,560016,4,18
16-10-2025,Karnataka,Bangalore,560023,3,17
16-10-2025,Karnataka,Bangalore,560024,1,4
16-10-2025,Karnataka,Bangalore,560032,1,16
16-10-2025,Karnataka,Bangalore,560033,0,6
16-10-2025,Karnataka,Bangalore,560039,1,4
16-10-2025,Karnataka,Bangalore,560043,0,15
16-10-2025,Karnataka,Bangalore,560052,0,1
16-10-2025,Karnataka,Bangalore,560054,0,6
16-10-2025,Karnataka,Bangalore,560056,0,10
16-10-2025,Karnataka,Bangalore,560061,1,5
16-10-2025,Karnataka,Bangalore,560063,0,2
16-10-2025,Karnataka,Bangalore,560064,2,17
16-10-2025,Karnataka,Bangalore,560072,2,10
16-10-2025,Karnataka,Bangalore,560076,1,14
16-10-2025,Karnataka,Bangalore,560077,1,9
16-10-2025,Karnataka,Bangalore,560086,1,6
16-10-2025,Karnataka,Bangalore,560090,2,4
16-10-2025,Karnataka,Bangalore,560092,1,6
16-10-2025,Karnataka,Bangalore,560097,1,7
16-10-2025,Karnataka,Bangalore,562123,2,9
15-10-2025,Karnataka,Bangalore,560001,0,7
15-10-2025,Karnataka,Bangalore,560004,0,6
15-10-2025,Karnataka,Bangalore,560016,1,21
15-10-2025,Karnataka,Bangalore,560023,1,6
15-10-2025,Karnataka,Bangalore,560027,0,6
15-10-2025,Karnataka,Bangalore,560028,0,4
15-10-2025,Karnataka,Bangalore,560029,0,4
15-10-2025,Karnataka,Bangalore,560030,0,1
15-10-2025,Karnataka,Bangalore,560034,0,4
15-10-2025,Karnataka,Bangalore,560035,0,2
15-10-2025,Karnataka,Bangalore,560039,1,5
15-10-2025,Karnataka,Bangalore,560045,0,31
15-10-2025,Karnataka,Bangalore,560050,0,3
15-10-2025,Karnataka,Bangalore,560053,0,3
15-10-2025,Karnataka,Bangalore,560063,0,1
15-10-2025,Karnataka,Bangalore,560066,1,8
15-10-2025,Karnataka,Bangalore,560087,0,1
15-10-2025,Karnataka,Bangalore,560092,0,4
15-10-2025,Karnataka,Bangalore,560102,1,1
15-10-2025,Karnataka,Bangalore,562157,0,5
19-10-2025,Karnataka,Bangalore,560008,0,2
19-10-2025,Karnataka,Bangalore,560010,2,4
19-10-2025,Karnataka,Bangalore,560011,0,3
19-10-2025,Karnataka,Bangalore,560024,0,1
19-10-2025,Karnataka,Bangalore,560034,0,1
19-10-2025,Karnataka,Bangalore,560036,3,2
19-10-2025,Karnataka,Bangalore,560047,1,5
19-10-2025,Karnataka,Bangalore,560049,0,7
19-10-2025,Karnataka,Bangalore,560058,1,8
19-10-2025,Karnataka,Bangalore,560060,0,4
19-10-2025,Karnataka,Bangalore,560068,0,13
19-10-2025,Karnataka,Bangalore,560078,3,9
19-10-2025,Karnataka,Bangalore,560083,1,6
19-10-2025,Karnataka,Bangalore,560087,0,2
19-10-2025,Karnataka,Bangalore,560093,1,2
19-10-2025,Karnataka,Bangalore,560094,0,6
19-10-2025,Karnataka,Bangalore,560096,0,2
19-10-2025,Karnataka,Bangalore,560102,1,0
19-10-2025,Karnataka,Bangalore,561203,0,1
19-10-2025,Karnataka,Bangalore,562123,0,2
19-10-2025,Karnataka,Bangalore,562125,0,4
19-10-2025,Karnataka,Bangalore,562157,0,4
21-10-2025,Karnataka,Bangalore,560029,0,2
21-10-2025,Karnataka,Bangalore,560041,0,1
21-10-2025,Karnataka,Bangalore,560051,0,1
21-10-2025,Karnataka,Bangalore,560062,0,1
21-10-2025,Karnataka,Bangalore,560069,0,1
21-10-2025,Karnataka,Bangalore,560073,0,3
21-10-2025,Karnataka,Bangalore,560078,0,2
21-10-2025,Karnataka,Bangalore,560088,0,1
20-10-2025,Karnataka,Bangalore,560002,0,1
20-10-2025,Karnataka,Bangalore,560011,0,2
20-10-2025,Karnataka,Bangalore,560026,1,5
20-10-2025,Karnataka,Bangalore,560028,1,0
20-10-2025,Karnataka,Bangalore,560029,0,3
20-10-2025,Karnataka,Bangalore,560030,0,2
20-10-2025,Karnataka,Bangalore,560038,0,1
20-10-2025,Karnataka,Bangalore,560046,1,0
20-10-2025,Karnataka,Bangalore,560047,0,3
20-10-2025,Karnataka,Bangalore,560056,0,2
20-10-2025,Karnataka,Bangalore,560062,0,4
20-10-2025,Karnataka,Bangalore,560067,0,1
20-10-2025,Karnataka,Bangalore,560073,0,1
20-10-2025,Karnataka,Bangalore,560084,0,2
20-10-2025,Karnataka,Bangalore,560091,1,2
20-10-2025,Karnataka,Bangalore,560096,0,4
20-10-2025,Karnataka,Bangalore,560098,1,0
20-10-2025,Karnataka,Bangalore,560099,0,1
20-10-2025,Karnataka,Bangalore,560102,0,1
20-10-2025,Karnataka,Bangalore,560105,0,1
20-10-2025,Karnataka,Bangalore,562106,0,3
24-10-2025,Karnataka,Bangalore,560005,0,7
24-10-2025,Karnataka,Bangalore,560013,0,2
24-10-2025,Karnataka,Bangalore,560019,1,1
24-10-2025,Karnataka,Bangalore,560024,0,4
24-10-2025,Karnataka,Bangalore,560027,0,8
24-10-2025,Karnataka,Bangalore,560037,0,4
24-10-2025,Karnataka,Bangalore,560049,1,4
24-10-2025,Karnataka,Bangalore,560058,0,8
24-10-2025,Karnataka,Bangalore,560064,1,8
24-10-2025,Karnataka,Bangalore,560068,2,15
24-10-2025,Karnataka,Bangalore,560073,0,8
24-10-2025,Karnataka,Bangalore,560079,0,7
24-10-2025,Karnataka,Bangalore,560083,1,3
24-10-2025,Karnataka,Bangalore,560084,1,7
24-10-2025,Karnataka,Bangalore,560088,0,2
24-10-2025,Karnataka,Bangalore,560092,0,3
24-10-2025,Karnataka,Bangalore,560094,1,2
24-10-2025,Karnataka,Bangalore,562106,1,2
24-10-2025,Karnataka,Bangalore,562123,0,9
23-10-2025,Karnataka,Bangalore,560032,1,1
23-10-2025,Karnataka,Bangalore,560060,0,1
23-10-2025,Karnataka,Bangalore,560071,0,1
22-10-2025,Karnataka,Bangalore,560045,0,1
22-10-2025,Karnataka,Bangalore,560057,0,1
22-10-2025,Karnataka,Bangalore,560092,1,0
27-10-2025,Karnataka,Bangalore,560001,0,1
27-10-2025,Karnataka,Bangalore,560004,0,4
27-10-2025,Karnataka,Bangalore,560006,0,1
27-10-2025,Karnataka,Bangalore,560015,1,3
27-10-2025,Karnataka,Bangalore,560018,0,2
27-10-2025,Karnataka,Bangalore,560019,0,3
27-10-2025,Karnataka,Bangalore,560024,0,1
27-10-2025,Karnataka,Bangalore,560034,0,2
27-10-2025,Karnataka,Bangalore,560040,0,3
27-10-2025,Karnataka,Bangalore,560047,0,6
27-10-2025,Karnataka,Bangalore,560066,0,3
27-10-2025,Karnataka,Bangalore,560068,1,7
27-10-2025,Karnataka,Bangalore,560075,1,1
27-10-2025,Karnataka,Bangalore,560096,1,0
27-10-2025,Karnataka,Bangalore,560099,0,1
27-10-2025,Karnataka,Bangalore,562106,0,2
27-10-2025,Karnataka,Bangalore,562123,0,2
27-10-2025,Karnataka,Bangalore,562149,0,2
27-10-2025,Karnataka,Bangalore,562157,0,2
28-10-2025,Karnataka,Bangalore,560010,0,7
28-10-2025,Karnataka,Bangalore,560013,0,3
28-10-2025,Karnataka,Bangalore,560017,0,1
28-10-2025,Karnataka,Bangalore,560026,0,15
28-10-2025,Karnataka,Bangalore,560037,0,6
28-10-2025,Karnataka,Bangalore,560039,0,4
28-10-2025,Karnataka,Bangalore,560040,0,1
28-10-2025,Karnataka,Bangalore,560045,2,21
28-10-2025,Karnataka,Bangalore,560053,2,5
28-10-2025,Karnataka,Bangalore,560054,0,8
28-10-2025,Karnataka,Bangalore,560056,0,3
28-10-2025,Karnataka,Bangalore,560062,1,8
28-10-2025,Karnataka,Bangalore,560064,1,10
28-10-2025,Karnataka,Bangalore,560070,0,9
28-10-2025,Karnataka,Bangalore,560082,0,5
28-10-2025,Karnataka,Bangalore,560086,0,2
28-10-2025,Karnataka,Bangalore,560090,0,2
28-10-2025,Karnataka,Bangalore,560096,0,5
28-10-2025,Karnataka,Bangalore,560099,0,4
28-10-2025,Karnataka,Bangalore,560102,0,1
28-10-2025,Karnataka,Bangalore,562106,1,4
28-10-2025,Karnataka,Bangalore,562123,2,4
17-10-2025,Karnataka,Bangalore,560008,1,1
17-10-2025,Karnataka,Bangalore,560043,0,7
17-10-2025,Karnataka,Bangalore,560049,0,4
17-10-2025,Karnataka,Bangalore,560050,0,4
17-10-2025,Karnataka,Bangalore,560062,2,8
