date,state,district,pincode,age_0_5,age_5_17,age_18_greater
10-09-2025,Karnataka,Bangalore,560103,0,1,0
10-09-2025,Karnataka,Bangalore,562157,3,0,0
11-09-2025,Karnataka,Bangalore,560013,1,0,0
11-09-2025,Karnataka,Bangalore,560030,1,0,0
11-09-2025,Karnataka,Bangalore,560035,0,1,0
11-09-2025,Karnataka,Bangalore,560039,1,0,0
11-09-2025,Karnataka,Bangalore,560040,2,0,0
11-09-2025,Karnataka,Bangalore,560043,1,1,0
11-09-2025,Karnataka,Bangalore,560054,0,1,0
11-09-2025,Karnataka,Bangalore,560056,1,1,0
11-09-2025,Karnataka,Bangalore,560078,3,1,0
11-09-2025,Karnataka,Bangalore,560087,1,0,0
14-09-2025,Karnataka,Bangalore,560037,0,1,0
14-09-2025,Karnataka,Bangalore,560045,2,1,0
14-09-2025,Karnataka,Bangalore,560064,2,0,0
14-09-2025,Karnataka,Bangalore,560094,1,0,0
14-09-2025,Karnataka,Bangalore,560095,1,0,0
12-09-2025,Karnataka,Bangalore,560021,1,0,0
12-09-2025,Karnataka,Bangalore,560033,2,0,0
12-09-2025,Karnataka,Bangalore,560045,1,0,0
12-09-2025,Karnataka,Bangalore,560047,1,0,0
12-09-2025,Karnataka,Bangalore,560051,1,1,0
12-09-2025,Karnataka,Bangalore,560058,1,0,0
12-09-2025,Karnataka,Bangalore,560060,1,0,0
12-09-2025,Karnataka,Bangalore,560097,2,0,0
15-09-2025,Karnataka,Bangalore,560001,1,0,0
15-09-2025,Karnataka,Bangalore,560017,1,0,0
15-09-2025,Karnataka,Bangalore,560045,4,0,0
15-09-2025,Karnataka,Bangalore,560046,1,0,0
15-09-2025,Karnataka,Bangalore,560070,1,0,0
15-09-2025,Karnataka,Bangalore,560075,1,0,0
15-09-2025,Karnataka,Bangalore,560078,1,0,0
15-09-2025,Karnataka,Bangalore,560079,1,0,0
15-09-2025,Karnataka,Bangalore,560087,1,0,0
15-09-2025,Karnataka,Bangalore,560100,1,0,0
15-09-2025,Karnataka,Bangalore,562123,2,0,0
13-09-2025,Karnataka,Bangalore,560021,2,0,0
13-09-2025,Karnataka,Bangalore,560023,1,0,0
13-09-2025,Karnataka,Bangalore,560027,2,0,0
13-09-2025,Karnataka,Bangalore,560029,1,0,0
13-09-2025,Karnataka,Bangalore,560033,2,0,0
13-09-2025,Karnataka,Bangalore,560045,5,0,0
13-09-2025,Karnataka,Bangalore,560063,0,1,0
13-09-2025,Karnataka,Bangalore,560064,1,1,0
13-09-2025,Karnataka,Bangalore,560085,2,1,0
13-09-2025,Karnataka,Bangalore,560097,1,0,0
13-09-2025,Karnataka,Bangalore,562106,3,0,0
16-09-2025,Karnataka,Bangalore,560004,1,0,0
16-09-2025,Karnataka,Bangalore,560007,1,0,0
16-09-2025,Karnataka,Bangalore,560015,1,1,0
16-09-2025,Karnataka,Bangalore,560051,1,0,0
16-09-2025,Karnataka,Bangalore,560058,1,0,0
16-09-2025,Karnataka,Bangalore,560064,0,1,0
17-09-2025,Karnataka,Bangalore,560042,1,0,0
17-09-2025,Karnataka,Bangalore,560058,1,0,0
17-09-2025,Karnataka,Bangalore,560073,1,0,0
17-09-2025,Karnataka,Bangalore,560091,1,0,0
17-09-2025,Karnataka,Bangalore,560093,2,0,0
17-09-2025,Karnataka,Bangalore,560094,0,1,0
17-09-2025,Karnataka,Bangalore,560099,1,0,0
17-09-2025,Karnataka,Bangalore,560105,3,0,0
20-09-2025,Karnataka,Bangalore,560004,1,1,0
20-09-2025,Karnataka,Bangalore,560008,2,0,0
20-09-2025,Karnataka,Bangalore,560009,0,1,0
20-09-2025,Karnataka,Bangalore,560010,2,0,0
20-09-2025,Karnataka,Bangalore,560023,4,0,0
20-09-2025,Karnataka,Bangalore,560027,2,0,0
20-09-2025,Karnataka,Bangalore,560040,1,1,0
20-09-2025,Karnataka,Bangalore,560072,2,1,0
20-09-2025,Karnataka,Bangalore,560073,1,0,0
20-09-2025,Karnataka,Bangalore,560100,3,0,0
20-09-2025,Karnataka,Bangalore,562106,3,1,0
20-09-2025,Karnataka,Bangalore,562110,1,0,0
18-09-2025,Karnataka,Bangalore,560011,1,0,0
18-09-2025,Karnataka,Bangalore,560027,2,0,0
18-09-2025,Karnataka,Bangalore,560030,1,0,0
18-09-2025,Karnataka,Bangalore,560056,1,0,0
18-09-2025,Karnataka,Bangalore,560062,2,0,0
18-09-2025,Karnataka,Bangalore,560071,1,0,0
19-09-2025,Karnataka,Bangalore,560021,1,0,0
19-09-2025,Karnataka,Bangalore,560033,1,0,0
19-09-2025,Karnataka,Bangalore,560047,1,1,0
19-09-2025,Karnataka,Bangalore,560048,1,0,0
19-09-2025,Karnataka,Bangalore,560062,0,1,0
19-09-2025,Karnataka,Bangalore,560079,1,1,0
19-09-2025,Karnataka,Bangalore,560096,0,2,0
22-09-2025,Karnataka,Bangalore,560002,1,0,0
22-09-2025,Karnataka,Bangalore,560008,2,0,0
22-09-2025,Karnataka,Bangalore,560032,1,0,0
22-09-2025,Karnataka,Bangalore,560055,1,0,0
22-09-2025,Karnataka,Bangalore,560083,1,0,0
22-09-2025,Karnataka,Bangalore,560094,1,0,0
23-09-2025,Karnataka,Bangalore,560002,1,0,0
23-09-2025,Karnataka,Bangalore,560005,2,0,0
23-09-2025,Karnataka,Bangalore,560010,1,0,0
23-09-2025,Karnataka,Bangalore,560022,2,0,0
23-09-2025,Karnataka,Bangalore,560024,1,0,0
23-09-2025,Karnataka,Bangalore,560094,1,0,0
23-09-2025,Karnataka,Bangalore,562106,1,0,0
23-09-2025,Karnataka,Bangalore,562129,1,0,0
23-09-2025,Karnataka,Bangalore,562130,1,0,0
24-09-2025,Karnataka,Bangalore,560004,0,1,0
24-09-2025,Karnataka,Bangalore,560005,1,0,0
24-09-2025,Karnataka,Bangalore,560016,3,1,0
24-09-2025,Karnataka,Bangalore,560021,3,0,0
24-09-2025,Karnataka,Bangalore,560058,1,0,0
24-09-2025,Karnataka,Bangalore,560084,1,0,0
24-09-2025,Karnataka,Bangalore,560086,1,0,0
24-09-2025,Karnataka,Bangalore,560092,1,0,0
25-09-2025,Karnataka,Bangalore,560004,1,0,0
25-09-2025,Karnataka,Bangalore,560021,3,0,0
25-09-2025,Karnataka,Bangalore,560057,2,1,0
25-09-2025,Karnataka,Bangalore,560078,2,0,0
25-09-2025,Karnataka,Bangalore,560084,1,0,0
27-09-2025,Karnataka,Bangalore,560036,1,0,0
27-09-2025,Karnataka,Bangalore,560105,1,0,0
28-09-2025,Karnataka,Bangalore,560045,0,1,0
28-09-2025,Karnataka,Bangalore,560091,1,0,0
26-09-2025,Karnataka,Bangalore,560002,1,0,0
26-09-2025,Karnataka,Bangalore,560016,1,0,0
26-09-2025,Karnataka,Bangalore,560085,1,0,0
26-09-2025,Karnataka,Bangalore,562123,2,0,0
26-10-2025,Karnataka,Bangalore,560002,2,1,0
26-10-2025,Karnataka,Bangalore,560008,0,2,0
26-10-2025,Karnataka,Bangalore,560023,1,0,0
26-10-2025,Karnataka,Bangalore,560043,1,1,0
26-10-2025,Karnataka,Bangalore,560045,3,4,1
26-10-2025,Karnataka,Bangalore,560068,1,1,0
26-10-2025,Karnataka,Bangalore,562106,2,0,0
13-10-2025,Karnataka,Bangalore,560003,2,0,0
13-10-2025,Karnataka,Bangalore,560009,0,1,0
13-10-2025,Karnataka,Bangalore,560023,3,0,0
13-10-2025,Karnataka,Bangalore,560024,0,1,0
13-10-2025,Karnataka,Bangalore,560026,4,0,0
13-10-2025,Karnataka,Bangalore,560043,1,1,0
13-10-2025,Karnataka,Bangalore,560050,4,0,0
13-10-2025,Karnataka,Bangalore,560051,0,1,0
13-10-2025,Karnataka,Bangalore,560058,2,0,0
13-10-2025,Karnataka,Bangalore,560069,1,0,0
13-10-2025,Karnataka,Bangalore,560072,1,2,0
13-10-2025,Karnataka,Bangalore,560075,2,0,0
13-10-2025,Karnataka,Bangalore,560087,2,0,0
13-10-2025,Karnataka,Bangalore,560089,2,0,0
13-10-2025,Karnataka,Bangalore,560094,1,1,0
13-10-2025,Karnataka,Bangalore,560097,3,0,0
13-10-2025,Karnataka,Bangalore,562106,2,1,0
13-10-2025,Karnataka,Bangalore,562123,1,0,0
13-10-2025,Karnataka,Bangalore,562149,2,0,0
13-10-2025,Karnataka,Bangalore,562157,1,1,0
16-10-2025,Karnataka,Bangalore,560011,1,0,0
16-10-2025,Karnataka,Bangalore,560049,1,0,0
16-10-2025,Karnataka,Bangalore,560078,1,0,0
16-10-2025,Karnataka,Bangalore,560083,1,1,0
16-10-2025,Karnataka,Bangalore,560096,1,0,0
16-10-2025,Karnataka,Bangalore,560105,0,1,0
15-10-2025,Karnataka,Bangalore,560008,1,0,0
15-10-2025,Karnataka,Bangalore,560056,1,0,0
15-10-2025,Karnataka,Bangalore,560057,2,0,0
15-10-2025,Karnataka,Bangalore,560072,0,1,0
15-10-2025,Karnataka,Bangalore,560073,1,0,0
15-10-2025,Karnataka,Bangalore,560083,1,0,0
15-10-2025,Karnataka,Bangalore,560099,1,0,0
18-10-2025,Karnataka,Bangalore,560001,1,1,0
18-10-2025,Karnataka,Bangalore,560008,2,0,0
18-10-2025,Karnataka,Bangalore,560017,1,0,0
18-10-2025,Karnataka,Bangalore,560027,2,0,0
18-10-2025,Karnataka,Bangalore,560049,1,1,0
18-10-2025,Karnataka,Bangalore,560073,2,1,0
18-10-2025,Karnataka,Bangalore,560076,1,0,0
18-10-2025,Karnataka,Bangalore,560078,4,0,0
18-10-2025,Karnataka,Bangalore,560100,1,0,0
18-10-2025,Karnataka,Bangalore,562157,1,0,0
17-10-2025,Karnataka,Bangalore,560004,2,1,0
17-10-2025,Karnataka,Bangalore,560010,1,0,0
17-10-2025,Karnataka,Bangalore,560013,1,0,0
17-10-2025,Karnataka,Bangalore,560018,1,0,0
17-10-2025,Karnataka,Bangalore,560021,1,0,0
17-10-2025,Karnataka,Bangalore,560029,4,0,0
17-10-2025,Karnataka,Bangalore,560041,2,1,0
17-10-2025,Karnataka,Bangalore,560056,3,0,0
17-10-2025,Karnataka,Bangalore,560057,1,0,0
17-10-2025,Karnataka,Bangalore,560061,2,0,0
17-10-2025,Karnataka,Bangalore,560068,1,0,0
17-10-2025,Karnataka,Bangalore,560077,1,2,0
17-10-2025,Karnataka,Bangalore,560085,2,0,0
17-10-2025,Karnataka,Bangalore,560093,1,0,0
17-10-2025,Karnataka,Bangalore,562149,1,0,0
20-10-2025,Karnataka,Bangalore,560010,2,0,0
20-10-2025,Karnataka,Bangalore,560027,1,0,0
20-10-2025,Karnataka,Bangalore,560032,1,0,0
20-10-2025,Karnataka,Bangalore,560051,1,0,0
20-10-2025,Karnataka,Bangalore,560058,1,0,0
20-10-2025,Karnataka,Bangalore,560066,1,0,0
20-10-2025,Karnataka,Bangalore,560068,1,0,0
20-10-2025,Karnataka,Bangalore,560082,1,0,0
19-10-2025,Karnataka,Bangalore,560002,1,1,0
19-10-2025,Karnataka,Bangalore,560023,3,0,0
19-10-2025,Karnataka,Bangalore,560025,1,0,0
19-10-2025,Karnataka,Bangalore,560029,1,1,0
19-10-2025,Karnataka,Bangalore,560037,2,0,0
19-10-2025,Karnataka,Bangalore,560045,6,3,0
19-10-2025,Karnataka,Bangalore,560062,1,0,0
19-10-2025,Karnataka,Bangalore,560064,2,0,0
19-10-2025,Karnataka,Bangalore,560097,1,0,0
19-10-2025,Karnataka,Bangalore,562149,1,0,0
24-10-2025,Karnataka,Bangalore,560002,1,0,0
24-10-2025,Karnataka,Bangalore,560008,0,1,0
24-10-2025,Karnataka,Bangalore,560010,0,1,0
24-10-2025,Karnataka,Bangalore,560018,3,0,0
24-10-2025,Karnataka,Bangalore,560033,1,0,0
24-10-2025,Karnataka,Bangalore,560045,2,1,0
24-10-2025,Karnataka,Bangalore,560078,1,0,0
24-10-2025,Karnataka,Bangalore,560090,1,1,0
24-10-2025,Karnataka,Bangalore,560097,0,1,0
24-10-2025,Karnataka,Bangalore,560099,1,0,0
24-10-2025,Karnataka,Bangalore,560104,0,1,0
21-10-2025,Karnataka,Bangalore,560002,1,0,0
21-10-2025,Karnataka,Bangalore,560045,1,0,0
21-10-2025,Karnataka,Bangalore,560054,1,0,0
21-10-2025,Karnataka,Bangalore,560084,1,0,0
21-10-2025,Karnataka,Bangalore,560099,2,0,0
27-10-2025,Karnataka,Bangalore,560002,1,0,0
27-10-2025,Karnataka,Bangalore,560076,0,1,0
27-10-2025,Karnataka,Bangalore,560077,2,0,0
28-10-2025,Karnataka,Bangalore,560008,1,0,0
28-10-2025,Karnataka,Bangalore,560016,0,1,0
28-10-2025,Karnataka,Bangalore,560021,1,0,0
28-10-2025,Karnataka,Bangalore,560057,0,1,0
28-10-2025,Karnataka,Bangalore,560084,1,0,0
28-10-2025,Karnataka,Bangalore,562125,1,0,0
25-10-2025,Karnataka,Bangalore,560021,0,1,0
25-10-2025,Karnataka,Bangalore,560023,2,0,0
25-10-2025,Karnataka,Bangalore,560047,1,0,0
25-10-2025,Karnataka,Bangalore,560057,1,0,0
25-10-2025,Karnataka,Bangalore,560099,1,0,0
25-10-2025,Karnataka,Bangalore,562107,1,0,0
29-10-2025,Karnataka,Bangalore,560016,2,1,0
29-10-2025,Karnataka,Bangalore,560026,1,1,0
29-10-2025,Karnataka,Bangalore,560027,1,2,0
29-10-2025,Karnataka,Bangalore,560037,1,1,0
29-10-2025,Karnataka,Bangalore,560039,2,0,0
29-10-2025,Karnataka,Bangalore,560040,1,0,0
29-10-2025,Karnataka,Bangalore,560048,5,0,0
29-10-2025,Karnataka,Bangalore,560049,3,0,0
29-10-2025,Karnataka,Bangalore,560062,2,1,0
29-10-2025,Karnataka,Bangalore,560064,5,0,0
29-10-2025,Karnataka,Bangalore,560083,1,0,0
29-10-2025,Karnataka,Bangalore,560102,0,1,0
29-10-2025,Karnataka,Bangalore,560103,1,0,0
29-10-2025,Karnataka,Bangalore,562130,1,0,0
30-10-2025,Karnataka,Bangalore,560025,1,0,0
30-10-2025,Karnataka,Bangalore,560039,3,1,0
30-10-2025,Karnataka,Bangalore,560046,2,0,0
30-10-2025,Karnataka,Bangalore,560053,1,0,0
30-10-2025,Karnataka,Bangalore,560054,4,0,0
30-10-2025,Karnataka,Bangalore,560055,1,0,0
30-10-2025,Karnataka,Bangalore,560076,1,0,0
30-10-2025,Karnataka,Bangalore,560085,3,0,0
30-10-2025,Karnataka,Bangalore,560087,0,1,0
30-10-2025,Karnataka,Bangalore,560088,1,0,0
30-10-2025,Karnataka,Bangalore,560094,2,0,0
30-10-2025,Karnataka,Bangalore,560095,0,1,0
30-10-2025,Karnataka,Bangalore,560097,1,2,0
30-10-2025,Karnataka,Bangalore,560099,3,1,0
30-10-2025,Karnataka,Bangalore,562123,1,0,0
05-11-2025,Karnataka,Bangalore,560009,0,1,0
05-11-2025,Karnataka,Bangalore,560036,1,0,0
05-11-2025,Karnataka,Bangalore,560058,1,0,0
05-11-2025,Karnataka,Bangalore,560064,0,1,0
05-11-2025,Karnataka,Bangalore,560076,2,0,0
05-11-2025,Karnataka,Bangalore,560078,2,0,0
05-11-2025,Karnataka,Bangalore,560079,2,0,0
05-11-2025,Karnataka,Bangalore,562130,2,1,0
06-11-2025,Karnataka,Bangalore,560016,2,1,0
06-11-2025,Karnataka,Bangalore,560026,1,1,0
06-11-2025,Karnataka,Bangalore,560033,1,0,0
06-11-2025,Karnataka,Bangalore,560035,1,0,0
06-11-2025,Karnataka,Bangalore,560038,1,0,0
06-11-2025,Karnataka,Bangalore,560047,1,0,0
06-11-2025,Karnataka,Bangalore,560049,2,1,0
06-11-2025,Karnataka,Bangalore,560068,4,1,0
06-11-2025,Karnataka,Bangalore,560069,1,0,0
06-11-2025,Karnataka,Bangalore,560073,0,1,0
06-11-2025,Karnataka,Bangalore,560086,0,1,0
06-11-2025,Karnataka,Bangalore,560091,3,0,0
06-11-2025,Karnataka,Bangalore,562107,2,0,0
08-11-2025,Karnataka,Bangalore,560022,2,1,0
08-11-2025,Karnataka,Bangalore,560029,1,0,0
08-11-2025,Karnataka,Bangalore,560043,2,0,0
08-11-2025,Karnataka,Bangalore,560045,3,1,0
08-11-2025,Karnataka,Bangalore,560049,2,0,0
08-11-2025,Karnataka,Bangalore,560057,1,0,0
08-11-2025,Karnataka,Bangalore,560068,2,1,0
08-11-2025,Karnataka,Bangalore,560070,0,1,0
08-11-2025,Karnataka,Bangalore,560072,1,0,0
08-11-2025,Karnataka,Bangalore,560082,1,0,0
08-11-2025,Karnataka,Bangalore,560089,1,0,0
08-11-2025,Karnataka,Bangalore,560090,1,0,0
08-11-2025,Karnataka,Bangalore,560098,0,1,0
07-11-2025,Karnataka,Bangalore,560001,1,0,0
07-11-2025,Karnataka,Bangalore,560046,1,0,0
07-11-2025,Karnataka,Bangalore,560068,3,1,0
07-11-2025,Karnataka,Bangalore,560099,0,1,0
07-11-2025,Karnataka,Bangalore,562149,1,0,0
09-11-2025,Karnataka,Bangalore,560036,1,0,0
09-11-2025,Karnataka,Bangalore,560047,2,1,0
09-11-2025,Karnataka,Bangalore,560049,1,0,0
09-11-2025,Karnataka,Bangalore,560071,1,0,0
09-11-2025,Karnataka,Bangalore,560086,0,1,0
09-11-2025,Karnataka,Bangalore,560089,1,0,0
09-11-2025,Karnataka,Bangalore,562106,1,0,0
10-11-2025,Karnataka,Bangalore,560001,2,0,0
10-11-2025,Karnataka,Bangalore,560008,1,0,0
10-11-2025,Karnataka,Bangalore,560015,1,0,0
10-11-2025,Karnataka,Bangalore,560017,1,1,0
10-11-2025,Karnataka,Bangalore,560027,1,0,0
10-11-2025,Karnataka,Bangalore,560043,2,0,0
10-11-2025,Karnataka,Bangalore,560045,4,3,0
10-11-2025,Karnataka,Bangalore,560051,0,1,0
10-11-2025,Karnataka,Bangalore,560061,1,0,0
10-11-2025,Karnataka,Bangalore,560072,2,0,0
10-11-2025,Karnataka,Bangalore,560078,3,1,0
10-11-2025,Karnataka,Bangalore,560085,2,0,0
10-11-2025,Karnataka,Bangalore,560096,1,0,0
10-11-2025,Karnataka,Bangalore,560097,1,0,0
10-11-2025,Karnataka,Bangalore,560105,1,0,0
10-11-2025,Karnataka,Bangalore,562125,2,0,0
10-11-2025,Karnataka,Bangalore,562157,1,0,0
14-11-2025,Karnataka,Bangalore,560011,4,1,0
14-11-2025,Karnataka,Bangalore,560043,2,0,0
14-11-2025,Karnataka,Bangalore,560051,1,0,0
14-11-2025,Karnataka,Bangalore,560053,1,0,0
14-11-2025,Karnataka,Bangalore,560056,1,0,0
14-11-2025,Karnataka,Bangalore,560062,2,0,0
14-11-2025,Karnataka,Bangalore,560064,3,0,0
14-11-2025,Karnataka,Bangalore,560065,1,0,0
14-11-2025,Karnataka,Bangalore,560072,1,0,0
14-11-2025,Karnataka,Bangalore,560096,1,0,0
14-11-2025,Karnataka,Bangalore,560100,1,0,0
14-11-2025,Karnataka,Bangalore,562107,0,1,0
14-11-2025,Karnataka,Bangalore,562125,1,2,0
14-11-2025,Karnataka,Bangalore,562157,1,0,0
13-11-2025,Karnataka,Bangalore,560001,3,0,0
13-11-2025,Karnataka,Bangalore,560016,1,0,0
13-11-2025,Karnataka,Bangalore,560062,1,0,0
13-11-2025,Karnataka,Bangalore,560064,1,0,0
13-11-2025,Karnataka,Bangalore,560085,1,0,0
13-11-2025,Karnataka,Bangalore,560096,2,0,0
31-10-2025,Karnataka,Bangalore,560003,1,0,0
31-10-2025,Karnataka,Bangalore,560018,1,0,0
31-10-2025,Karnataka,Bangalore,560029,2,3,0
31-10-2025,Karnataka,Bangalore,560033,2,0,0
31-10-2025,Karnataka,Bangalore,560043,1,0,0
31-10-2025,Karnataka,Bangalore,560045,10,1,0
31-10-2025,Karnataka,Bangalore,560053,0,1,0
31-10-2025,Karnataka,Bangalore,560064,1,1,0
31-10-2025,Karnataka,Bangalore,560075,2,0,0
31-10-2025,Karnataka,Bangalore,560083,4,0,0
31-10-2025,Karnataka,Bangalore,560086,1,0,0
31-10-2025,Karnataka,Bangalore,560087,1,0,0
31-10-2025,Karnataka,Bangalore,560091,5,1,0
31-10-2025,Karnataka,Bangalore,560102,1,0,0
31-10-2025,Karnataka,Bangalore,560104,0,1,0
31-10-2025,Karnataka,Bangalore,562107,3,1,0
01-11-2025,Karnataka,Bangalore,560010,1,0,0
01-11-2025,Karnataka,Bangalore,560016,2,0,0
01-11-2025,Karnataka,Bangalore,560021,0,1,0
01-11-2025,Karnataka,Bangalore,560067,1,0,0
01-11-2025,Karnataka,Bangalore,560091,1,0,0
01-11-2025,Karnataka,Bangalore,560099,1,0,0
01-11-2025,Karnataka,Bangalore,562123,1,0,0
02-11-2025,Karnataka,Bangalore,560001,2,0,0
02-11-2025,Karnataka,Bangalore,560002,1,0,0
02-11-2025,Karnataka,Bangalore,560006,1,0,0
02-11-2025,Karnataka,Bangalore,560025,1,0,0
02-11-2025,Karnataka,Bangalore,560029,3,0,0
02-11-2025,Karnataka,Bangalore,560034,1,0,0
02-11-2025,Karnataka,Bangalore,560045,2,0,0
02-11-2025,Karnataka,Bangalore,560053,2,2,0
02-11-2025,Karnataka,Bangalore,560061,1,1,0
02-11-2025,Karnataka,Bangalore,560082,2,0,0
02-11-2025,Karnataka,Bangalore,560102,1,0,0
02-11-2025,Karnataka,Bangalore,560105,3,0,0
02-11-2025,Karnataka,Bangalore,562107,6,0,0
02-11-2025,Karnataka,Bangalore,562123,1,0,0
